"positive","the rock is destined to be thest century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal ."
"positive","the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth ."
"positive","effective but too-tepid biopic"
"positive","if you sometimes like to go to the movies to have fun , wasabi is a good place to start ."
"positive","emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one ."
"positive","the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game ."
"positive","offers that rare combination of entertainment and education ."
"positive","perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions ."
"positive","steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off ."
"positive","take care of my cat offers a refreshingly different slice of asian cinema ."
"positive","this is a film well worth seeing , talking and singing heads and all ."
"positive","what really surprises about wisegirls is its low-key quality and genuine tenderness ."
"positive","( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind ."
"positive","one of the greatest family-oriented , fantasy-adventure movies ever ."
"positive","ultimately , it ponders the reasons we need stories so much ."
"positive","an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question ."
"positive","illuminating if overly talky documentary ."
"positive","a masterpiece four years in the making ."
"positive","the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries ."
"positive","offers a breath of the fresh air of true sophistication ."
"positive","a thoughtful , provocative , insistently humanizing film ."
"positive","with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives ."
"positive","a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass ."
"positive","not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare ."
"positive","scores a few points for doing what it does with a dedicated and good-hearted professionalism ."
"positive","occasionally melodramatic , it's also extremely effective ."
"positive","spiderman rocks"
"positive","an idealistic love story that brings out the latent-year-old romantic in everyone ."
"positive","at about minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts ."
"positive","it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid ."
"positive","guaranteed to move anyone who ever shook , rattled , or rolled ."
"positive","a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview ."
"positive","light , cute and forgettable ."
"positive","if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid ."
"positive","while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy ."
"positive","though everything might be literate and smart , it never took off and always seemed static ."
"positive","cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days"
"positive","ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn ."
"positive","though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them ."
"positive","like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series ."
"positive","newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg ."
